Target,x1,x2,x3,x4,x5
16,37,16,6.583333333,1,0
9,7,29,6.05,1,0
24,19,37,8.1125,1,0
57,15,24,6.516666667,1,0
5,27,13,7.433333333,1,0
26,25,11,8.177777778,1,0
14,22,28,7.633333333,1,0
22,14,18,6.75,1,0
39,5,20,6.1375,1,0
26,15,23,6.066666667,1,0
26,31,7,7.1,1,0
11,29,13,6.845454545,1,0
22,25,5,6.72,1,0
21,15,12,7.192307692,1,0
21,33,23,6.561538462,1,0
17,12,7,6.86,1,0
14,26,39,6.590909091,1,0
9,23,14,7.622222222,1,0
30,56,25,7.61875,1,0
37,24,17,6.88,1,0
25,24,3,7.375,1,0
34,12,21,8.614285714,1,0
34,36,4,6.970588235,1,0
6,39,12,6.423076923,1,0
18,21,22,6.864705882,1,0
25,9,3,6.805882353,1,0
22,29,38,7.8,1,0
35,15,9,7.092857143,1,0
16,24,0,6.8,0,1
52,31,31,7.171428571,0,1
26,15,19,6.764285714,0,1
9,8,16,8.072727273,0,1
59,11,20,7.725,0,1
36,13,39,7.015384615,0,1
7,17,48,7.57,0,1
5,37,30,7.375,0,1
39,11,16,5.907692308,0,1
11,19,20,7.581818182,0,1
14,0,22,6.7125,0,1
24,34,19,7.25,0,1
16,10,15,6.7,0,1
38,18,11,6.6,0,1
37,33,44,7.515789474,0,1
15,12,24,6.3125,0,1
15,12,14,6.984615385,0,1
6,14,2,6.557142857,0,1
19,17,7,7.344444444,0,1
22,5,35,7.83,0,1
4,1,7,7.433333333,0,1
18,11,28,7.463636364,0,1
4,0,24,7.475,0,1
22,41,16,6,0,1
6,28,38,6.68125,0,1
13,49,25,6.066666667,0,1
14,14,43,7,0,1
3,45,11,6.9,0,1
13,20,24,6.63,0,0
34,10,23,5.938888889,0,0
45,3,26,6.971428571,0,0
9,9,10,7.525,0,0
39,17,21,6.723529412,0,0
1,14,23,7.209090909,0,0
16,14,52,6.988888889,0,0
33,44,22,7.618181818,0,0
21,42,33,7.28125,0,0
22,21,19,6.675,0,0
20,9,25,6.554545455,0,0
25,17,11,7.425,0,0
19,15,11,6.43,0,0
58,31,14,6.372222222,0,0
8,22,39,6.241666667,0,0
15,37,18,6.955555556,0,0
11,9,26,6.116666667,0,0
12,17,8,6.8,0,0
38,18,29,6.88125,0,0
21,27,1,6.78,0,0
6,7,8,6.6,0,0
0,11,10,6.78,0,0
29,59,12,7.409090909,0,0
29,4,31,6.945454545,0,0
18,31,6,7.6,0,0
14,19,9,6.623076923,0,0
9,44,16,6.76,0,0
10,31,10,7.05,0,0
